,ns,Ts,V0s,Is_0,Is_1,Is_2,Is_3,Is_4,Is_5
111,78137442504.30724,1190.4219714723245,-1.6057992595903159,-1.673342965271029e-05,-1.5695012006231314e-07,-3.2525466915598226e-07,-4.7490367394894973e-07,-8.746030179943141e-07,-1.373616443845539e-07
112,104093381409.60579,1521.1492060392138,-0.5895905376678052,-2.7508835196124708e-05,-3.4158846093771137e-07,-5.303051444275581e-07,-7.045972992057653e-07,-1.1805571434876234e-06,-2.246782848079765e-07
113,104966554551.06825,1050.1645376153363,-1.6628166561081181,-2.1546967703423012e-05,-1.9821811798693837e-07,-4.219860437095915e-07,-6.19997798337294e-07,-1.1473786085734747e-06,-1.8853992398946514e-07
114,55718916367.83243,2769.6852962015387,-1.6841487903511962,-9.361783400965222e-06,-9.769643767618193e-08,-1.9606083166628593e-07,-2.8270548879774517e-07,-5.119826177189046e-07,-7.696678567644899e-08
115,41660945410.77938,402.34326976385404,-0.7495428512459945,-1.5653510856641895e-05,-1.7380060625689398e-07,-2.84221799813441e-07,-3.853590132878443e-07,-6.598137972760617e-07,-1.2606032197783946e-07
116,181440357153.94818,2081.293826587689,-1.436166974058706,-3.272525327884605e-05,-3.6198505485652594e-07,-6.692439555489623e-07,-9.456942502072014e-07,-1.6887630649833552e-06,-2.943292872384792e-07
117,58515746938.059166,2167.7779121361327,-0.6719876416507895,-1.460999500012416e-05,-1.817892201419361e-07,-2.830850919419192e-07,-3.7612107925716106e-07,-6.286970447798633e-07,-1.1026137238370838e-07
118,97052396784.27939,768.5546454736841,-1.90431807473901,-1.9229298819324348e-05,-1.4979963389314806e-07,-3.7690614520221185e-07,-5.736936489694921e-07,-1.0925437589295215e-06,-1.7441680924922593e-07
119,102817646987.11403,383.91588314943465,-0.7698104785938713,-2.7893429477238738e-05,-3.596021957354784e-07,-5.800041469518084e-07,-7.794638039252447e-07,-1.3135078583197957e-06,-3.120097569918168e-07
120,44066521815.8202,926.9614788499456,-1.0370606839584622,-1.3018801101569854e-05,-1.3828241940601455e-07,-2.3881049109879606e-07,-3.3022094201676774e-07,-5.77198930107675e-07,-9.5519309125144e-08
121,164818474997.22705,1670.6975857788852,-1.275741206931243,-3.300207378582516e-05,-3.7082892095385523e-07,-6.611262305614873e-07,-9.236055738004542e-07,-1.6306805347576812e-06,-2.951265183220907e-07
122,70268293237.1171,2590.6034432827046,-1.549466756564634,-1.2520703782811746e-05,-1.3537232651248418e-07,-2.592943636156044e-07,-3.6968185547903357e-07,-6.640017763995766e-07,-1.0300065172547107e-07
123,91543001599.82599,1172.4359064760424,-0.7523321479772218,-2.4959180200588496e-05,-2.9567070183809066e-07,-4.753918069737904e-07,-6.405368970882056e-07,-1.0899088359079898e-06,-2.0434459573226685e-07
124,66444109521.743904,2189.9632496960126,-0.2433958328093231,-1.8239202097390207e-05,-2.3895824726814724e-07,-3.500577707512711e-07,-4.5320597037606824e-07,-7.355691040908367e-07,-1.3695040579083785e-07
125,88134149237.09027,1002.6232026483303,-0.7664762437106749,-2.4781398307859218e-05,-2.903884115201731e-07,-4.695830953702626e-07,-6.340660477655065e-07,-1.0812438616732424e-06,-2.0501533798834106e-07
126,56117986677.57699,807.0175237206367,-1.5490494014919938,-1.4006157474017617e-05,-1.2775057812058316e-07,-2.6328645780126255e-07,-3.8393598100322917e-07,-7.063109658165937e-07,-1.1106429120129492e-07
